seed,naive_winner,decision,final_winner,final_loser,final_gain_pct,final_lcb_pct
7,candidate_consistent,defer:candidate_baseline:candidate_slightly_slow,candidate_baseline,candidate_slightly_slow,67.15878254717205,62.40878254717205
8,candidate_consistent,reject:candidate_baseline,candidate_baseline,candidate_fast_but_noisy,0.0,-1.0
9,candidate_consistent,defer:candidate_baseline:candidate_fast_but_noisy,candidate_baseline,candidate_fast_but_noisy,42.57316127742411,37.82316127742411
10,candidate_fast_but_noisy,defer:candidate_baseline:candidate_fast_but_noisy,candidate_baseline,candidate_fast_but_noisy,21.76848539909111,18.26848539909111
11,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,2.4367961736328736,-1.8132038263671264
12,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,5.910001751881074,1.1600017518810741
13,candidate_fast_but_noisy,reject:candidate_baseline,candidate_baseline,candidate_fast_but_noisy,0.0,-1.0
14,candidate_consistent,defer:candidate_fast_but_noisy:candidate_slightly_slow,candidate_fast_but_noisy,candidate_slightly_slow,15.664359076800007,11.164359076800007
15,candidate_fast_but_noisy,reject:candidate_baseline,candidate_baseline,candidate_fast_but_noisy,0.0,-1.0
16,candidate_fast_but_noisy,defer:candidate_baseline:candidate_fast_but_noisy,candidate_baseline,candidate_fast_but_noisy,19.607131306971144,15.357131306971144
17,candidate_consistent,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,6.565128573290356,1.8151285732903562
18,candidate_fast_but_noisy,defer:candidate_baseline:candidate_fast_but_noisy,candidate_baseline,candidate_fast_but_noisy,19.551148806295345,15.551148806295345
19,candidate_consistent,defer:candidate_baseline:candidate_consistent,candidate_baseline,candidate_consistent,8.98736810989616,6.73736810989616
20,candidate_consistent,defer:candidate_consistent:candidate_slightly_slow,candidate_consistent,candidate_slightly_slow,31.5837938168753,28.0837938168753
21,candidate_fast_but_noisy,defer:candidate_baseline:candidate_slightly_slow,candidate_baseline,candidate_slightly_slow,39.65883896992272,36.65883896992272
22,candidate_consistent,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,2.6353158199642635,0.38531581996426345
23,candidate_fast_but_noisy,defer:candidate_consistent:candidate_baseline,candidate_consistent,candidate_baseline,5.078588218235143,2.0785882182351427
24,candidate_fast_but_noisy,defer:candidate_baseline:candidate_slightly_slow,candidate_baseline,candidate_slightly_slow,24.26094230529669,21.26094230529669
25,candidate_fast_but_noisy,defer:candidate_consistent:candidate_slightly_slow,candidate_consistent,candidate_slightly_slow,33.05917537426727,31.80917537426727
26,candidate_fast_but_noisy,promote:candidate_consistent,candidate_consistent,candidate_baseline,15.254823682848492,15.254823682848492
